source,b_mm,H_web_mm,strength_N,mass_model_g,sw_N_per_g,weight_g,stiff_N_mm,d_at_peak_mm,tag,proper_supports,censored,session,print_order,rep,slot,printer,pred_mode,obs_mode,failure_note,source_file
followup,2.05,10.1,747.5,20.39,36.661,,128.8,7.08,,False,False,5.0,,,,,,,Vertical crack propigation up to the top flange. Half of the top flange separated form the web.,B_2.05_H_10.1_5.csv
followup,2.05,10.1,660.2,20.39,32.379,,102.0,8.33,PS,True,False,11.0,,,,,,,Vertical crack propigation up to the top flange.,B_2.05_H_10.1_PS_11.csv
followup,2.55,10.8,728.9,20.36,35.808,,128.1,6.99,,False,False,6.0,,,,,,,Vertical crack propigation up to the top flange.,B_2.55_H_10.8_6.csv
followup,2.7,9.4,782.5,22.78,34.355,,134.9,7.2,S1,False,False,8.0,,,,,,,Vertical crack propigation up to the top flange.,B_2.7_H_9.4_S1_8.csv
followup,2.7,9.4,787.3,22.78,34.565,,141.1,7.31,S2,False,False,5.0,,,,,,,Complete vertical fracture across the center of the beam.,B_2.7_H_9.4_S2_5.csv
followup,2.7,9.4,801.8,22.78,35.202,,140.1,7.5,S3,False,False,6.0,,,,,,,Complete vertical fracture across the center of the beam.,B_2.7_H_9.4_S3_6.csv
followup,3.1,13.2,673.5,18.18,37.038,,128.2,6.89,,False,False,2.0,,,,,,,Vertical crack propigation up to the top flange.,B_3.10_H_13.2_2.csv
ps_recal,1.25,13.4,522.4,12.83,40.71,12.9,99.9,,PS,True,False,,,1.0,7.0,Pulse 3,,,Separation of the top and bottom flange from the web.,b_1.25_H_13.4_PS_1_7.csv
ps_recal,1.25,13.4,500.0,12.83,38.964,12.7,96.7,,PS,True,False,,,2.0,10.0,Pulse 9,,,Horizontal crack propigation along the top (10% of the way through the beam) and bottom part (50% of the way through the beam) of the web.,b_1.25_H_13.4_PS_2_10.csv
ps_recal,1.3,12.8,577.0,14.04,41.106,13.9,108.0,,PS,True,False,,,1.0,5.0,Pulse 13,,,Web fractured vertically to the left of the center fo the beam that also slightly propigated horizontally across the web. Center of the beam had discoloration vertically.,b_1.3_H_12.8_PS_1_5.csv
ps_recal,1.3,12.8,616.5,14.04,43.92,14.4,113.7,,PS,True,False,,,2.0,4.0,Pulse 2,,,Vertical crack propigation up to the top flange.,b_1.3_H_12.8_PS_2_4.csv
ps_recal,1.3,12.8,576.0,14.04,41.035,14.0,106.1,,PS,True,False,,,3.0,9.0,Pulse 3,,,Separation of the bottom flange from the web approximately 25% of the way through the beam. Horizontal crack along the top of the web as well.,b_1.3_H_12.8_PS_3_9.csv
ps_recal,1.3,12.8,555.8,14.04,39.596,13.8,105.0,,PS,True,False,,,4.0,6.0,Pulse 9,,,Vertical crack propigation up to the top flange.,b_1.3_H_12.8_PS_4_6.csv
ps_recal,1.3,12.8,575.6,14.04,41.006,13.9,108.8,,PS,True,False,,,5.0,10.0,Pulse 12,,,Vertical crack propigation up to the top flange.,b_1.3_H_12.8_PS_5_10.csv
ps_recal,1.4,10.4,724.1,18.52,39.099,18.4,130.0,,PS,True,False,,,0.0,4.0,Pulse 13,,,Vertical crack propigation up to the top flange. Top flange and web partially separated toward the center of the beam.,b_1.4_H_10.4_PS_4.csv
ps_recal,1.44,13.39,482.4,13.37,36.079,13.4,105.4,,PS,True,False,,,1.0,8.0,Pulse 3,,,Separation of the bottom flange from the web. Top flange separated from the web about 50% of the way through the beam.,b_1.44_H_13.34_PS_1_8.csv
ps_recal,1.44,13.39,515.6,13.37,38.562,13.1,100.4,,PS,True,False,,,2.0,9.0,Pulse 9,,,"Discoloration on the bottom part of the beam, flipped on test stand during failure.",b_1.44_H_13.39_PS_2_9.csv
ps_recal,1.5,5.0,796.2,28.12,28.316,28.4,170.9,,PS,True,False,,,0.0,2.0,Pulse 2,,,Separation of the top flange from the web.,b_1.5_H_5_PS_2.csv
ps_recal,1.75,15.8,336.7,10.15,33.161,9.9,72.4,,PS,True,True,,,0.0,7.0,Pulse 9,,,Beam slowly twisted along the supports. Test was stopped before failure criteria was met.,b_1.75_H_15.8_PS_7.csv
ps_recal,3.25,15.1,543.6,15.97,34.047,15.7,104.2,,PS,True,False,,,0.0,12.0,Pulse 12,,,Vertical crack propigation initiated from the bottom of the beam.,b_3.25_H_15.1_PS_12.csv
ps_recal,3.55,7.5,936.0,26.92,34.773,26.8,169.7,,PS,True,False,,,0.0,6.0,Pulse 3,,,Vertical crack propigation up to the top flange.,b_3.55_H_7.5_PS_6.csv
ps_recal,3.7,11.1,821.5,22.51,36.496,22.3,153.0,,PS,True,False,,,0.0,3.0,Pulse 13,,,Complete vertical fracture across the center of the beam.,b_3.7_H_11.1_PS_3.csv
ps_recal,4.0,13.5,685.6,20.25,33.864,19.9,131.3,,PS,True,False,,,0.0,8.0,Pulse 9,,,Vertical crack propigation up to the top flange.,b_4_H_13.5_PS_8.csv
ps_recal,4.2,15.6,588.5,18.31,32.146,17.8,112.9,,PS,True,False,,,0.0,1.0,Pulse 13,,,Vertical crack propigation up to the top flange.,b_4.2_H_15.6_PS_1.csv
ps_recal,4.6,13.1,753.1,22.34,33.705,22.1,139.5,,PS,True,False,,,0.0,11.0,Pulse 12,,,Vertical crack propigation initiated from the bottom of the beam.,b_4.6_H_13.1_PS_11.csv
ps_recal,4.85,14.4,736.7,21.64,34.037,21.4,141.4,,PS,True,False,,,0.0,3.0,Pulse 2,,,Vertical crack propigation initiated from the bottom of the beam.,b_4.85_H_14.4_PS_3.csv
ps_recal,5.95,6.3,1020.7,31.59,32.309,31.4,181.2,,PS,True,False,,,0.0,2.0,Pulse 13,,,Complete vertical fracture across the center of the beam.,b_5.95_H_6.3_PS_2.csv
ps_recal,6.4,10.3,973.4,29.23,33.305,29.2,173.2,,PS,True,False,,,0.0,11.0,Pulse 12,,,Complete vertical fracture across the center of the beam.,b_6.4_H_10.3_PS_11.csv
ps_recal,7.0,10.5,921.1,30.37,30.331,29.7,174.4,,PS,True,False,,,0.0,5.0,Pulse 3,,,Vertical crack propigation up to the top flange.,b_7_H_10.5_PS_5.csv
ps_recal,7.0,16.0,881.2,26.99,32.644,27.6,157.5,,PS,True,False,,,0.0,1.0,Pulse 2,,,Vertical crack propigation up to the top flange.,b_7_H_16_PS_1.csv
