print_order,d_mm,F_N
36,5.7547,918.3
36,5.8165,923.4
36,5.8775,928.2
36,5.9388,932.9
36,5.9998,937.3
36,6.0608,941.5
36,6.1226,945.8
36,6.1852,950.0
36,6.2449,953.5
36,6.3076,957.5
36,6.3677,960.7
36,6.4292,964.1
36,6.4913,967.4
36,6.5524,970.3
36,6.613,973.0
36,6.6753,975.7
36,6.7351,977.9
36,6.7977,980.4
36,6.8592,982.5
36,6.9197,984.1
36,6.9819,986.0
36,7.0422,987.2
36,7.1037,988.5
36,7.1656,989.7
36,7.2274,990.7
36,7.2876,991.2
36,7.3501,991.9
36,7.4102,991.9
36,7.4725,992.1
36,7.5338,991.8
36,7.595,991.1
36,7.6558,990.0
36,7.7178,988.5
36,7.7778,985.9
36,7.8401,982.4
36,7.9027,976.4
37,0.0,0.0
37,0.0486,4.4
37,0.109,12.9
37,0.1695,21.7
37,0.2296,30.9
37,0.2893,41.1
37,0.3501,51.6
37,0.4098,61.9
37,0.4694,72.3
37,0.5299,82.8
37,0.5903,93.3
37,0.6499,103.7
37,0.7106,114.3
37,0.7711,124.8
37,0.83,135.0
37,0.8904,145.6
37,0.9506,156.1
37,1.0114,166.8
37,1.0711,177.2
37,1.1315,187.8
37,1.1913,198.2
37,1.2508,208.6
37,1.311,219.2
37,1.3724,229.8
37,1.432,240.2
37,1.492,250.6
37,1.5521,260.9
37,1.6113,270.9
37,1.672,281.3
37,1.7327,291.6
37,1.7931,301.6
37,1.8522,311.5
37,1.9129,321.9
37,1.9725,331.8
37,2.033,341.8
37,2.0933,351.8
37,2.1534,361.9
37,2.2133,371.7
37,2.2733,381.7
37,2.3337,391.8
37,2.3933,401.6
37,2.4541,411.6
37,2.5138,421.5
37,2.5745,431.4
37,2.6335,440.9
37,2.6949,451.0
37,2.7545,460.5
37,2.814,470.1
37,2.875,479.8
37,2.9346,489.3
37,2.9949,498.8
37,3.0553,508.5
37,3.1155,518.1
37,3.1747,527.2
37,3.2353,536.7
37,3.2958,546.1
37,3.3554,555.2
37,3.4157,564.4
37,3.4764,573.7
37,3.5356,582.6
37,3.5957,591.6
37,3.6562,600.6
37,3.717,609.6
37,3.7766,618.4
37,3.8366,627.3
37,3.8971,636.1
37,3.956,644.5
37,4.0166,653.2
37,4.0776,662.0
37,4.1375,670.3
37,4.197,678.6
37,4.2578,687.3
37,4.317,695.4
37,4.3779,703.7
37,4.4378,711.8
37,4.4982,719.7
37,4.5579,727.5
37,4.6181,735.3
37,4.6782,743.0
37,4.7378,750.4
37,4.7988,758.0
37,4.8589,765.3
37,4.9191,772.4
37,4.9783,779.2
37,5.0391,786.1
37,5.0988,792.4
37,5.1593,799.0
37,5.2192,805.2
37,5.2796,811.2
37,5.339,816.9
37,5.4001,822.6
37,5.4604,828.2
37,5.5191,833.3
37,5.5803,838.8
37,5.6398,843.8
37,5.7004,848.9
37,5.7603,853.6
37,5.8211,858.3
37,5.8804,862.5
37,5.9403,866.7
37,6.001,871.1
37,6.0614,875.1
37,6.1213,878.9
37,6.1813,882.6
37,6.2413,886.1
37,6.3004,889.3
37,6.3615,892.6
37,6.4222,895.8
37,6.4823,898.8
37,6.5416,901.4
37,6.6025,904.0
37,6.6616,906.1
37,6.7216,908.2
37,6.783,910.2
37,6.8426,911.9
37,6.9023,913.3
37,6.9628,914.7
37,7.0227,915.9
37,7.0828,916.8
37,7.1432,917.5
37,7.2035,918.1
37,7.2636,918.4
37,7.3229,918.3
37,7.3838,918.2
37,7.4434,917.4
37,7.504,916.6
37,7.5641,915.3
37,7.6241,913.8
37,7.6838,911.6
37,7.745,908.6
38,0.0,0.1
38,0.0595,3.9
38,0.1255,10.4
38,0.1915,18.0
38,0.2573,25.5
38,0.3226,33.4
38,0.3884,41.5
38,0.4538,49.6
38,0.5196,57.8
38,0.5849,65.9
38,0.651,74.1
38,0.716,82.3
38,0.7821,90.5
38,0.8472,98.7
38,0.914,107.1
38,0.9786,115.1
38,1.0444,123.2
38,1.1102,131.5
38,1.1757,139.7
38,1.2416,148.0
38,1.3063,156.0
38,1.3727,164.3
38,1.4383,172.5
38,1.5048,180.6
38,1.5687,188.6
38,1.6356,197.0
38,1.7007,205.1
38,1.7664,213.2
38,1.8319,221.2
38,1.8975,229.3
38,1.9635,237.4
38,2.0291,245.4
38,2.0949,253.4
38,2.1606,261.5
38,2.2259,269.4
38,2.2915,277.3
38,2.3566,285.2
38,2.4232,293.2
38,2.488,300.9
38,2.5538,308.8
38,2.6195,316.7
38,2.6858,324.6
38,2.7508,332.3
38,2.8162,340.0
38,2.8822,347.7
38,2.9474,355.4
38,3.0139,363.1
38,3.0782,370.6
38,3.1447,378.3
38,3.2105,385.9
38,3.2765,393.6
38,3.3411,401.0
38,3.4071,408.5
38,3.4727,415.9
38,3.5384,423.3
38,3.6041,430.7
38,3.6696,438.1
38,3.7351,445.5
38,3.8012,452.9
38,3.8665,460.0
38,3.9325,467.1
38,3.9973,474.2
38,4.0631,481.3
38,4.1289,488.5
38,4.195,495.5
38,4.2601,502.4
38,4.3257,509.2
38,4.3916,516.0
38,4.4577,522.9
38,4.5228,529.7
38,4.5876,536.4
38,4.6541,543.2
38,4.7199,549.8
38,4.7857,556.3
38,4.85,562.5
38,4.9169,569.1
38,4.9821,575.4
38,5.0487,581.7
38,5.113,587.7
38,5.1791,593.9
38,5.2444,599.9
38,5.3104,605.9
38,5.3762,611.7
38,5.4415,617.4
38,5.5075,623.0
38,5.5728,628.5
38,5.639,634.0
38,5.7045,639.3
38,5.769,644.3
38,5.8352,649.4
38,5.901,654.3
38,5.9671,659.0
38,6.032,663.5
38,6.0975,667.7
38,6.1636,672.0
38,6.229,676.1
38,6.2954,680.2
38,6.3592,683.8
38,6.4264,687.6
38,6.4915,691.0
38,6.5578,694.5
38,6.6224,697.6
38,6.6889,700.8
38,6.7541,703.9
38,6.8198,706.7
38,6.8856,709.4
38,6.9509,711.9
38,7.0163,714.1
38,7.0824,716.4
38,7.1479,718.2
38,7.214,720.2
38,7.2791,721.8
38,7.3447,723.4
38,7.4104,724.9
38,7.4762,726.2
38,7.5414,727.3
38,7.6069,728.2
38,7.6731,729.1
38,7.7389,729.8
38,7.8043,730.3
38,7.8693,730.5
38,7.9354,730.9
38,8.0013,731.0
38,8.0671,730.8
38,8.1317,730.2
38,8.1983,729.6
38,8.2632,728.5
38,8.33,727.0
38,8.3944,724.6
38,8.461,720.9
39,0.0,0.1
39,0.0497,1.7
39,0.1097,7.9
39,0.1703,14.2
39,0.2291,19.5
39,0.2891,20.2
39,0.3482,23.6
39,0.4091,31.2
39,0.4688,38.8
39,0.5279,46.5
39,0.5889,54.5
39,0.6469,62.2
39,0.7073,70.2
39,0.7672,78.3
39,0.8271,86.3
39,0.8866,94.4
39,0.947,102.6
39,1.0067,110.7
39,1.0654,118.7
39,1.1259,127.0
39,1.1851,135.1
39,1.2456,143.4
39,1.3046,151.4
39,1.3651,159.8
39,1.425,167.9
39,1.4833,175.8
39,1.5438,184.1
39,1.6041,192.3
39,1.6638,200.4
39,1.723,208.4
39,1.7845,216.8
39,1.8427,224.6
39,1.9022,232.6
39,1.9617,240.7
39,2.0223,248.9
39,2.0823,256.9
39,2.1409,264.7
39,2.2027,273.0
39,2.2607,280.6
39,2.3203,288.5
39,2.3802,296.5
39,2.4409,304.7
39,2.5005,312.5
39,2.5595,320.2
39,2.6208,328.3
39,2.6788,335.8
39,2.7391,343.7
39,2.7984,351.3
39,2.8588,359.1
39,2.9187,366.8
39,2.978,374.4
39,3.0389,382.2
39,3.0972,389.4
39,3.1574,397.1
39,3.2169,404.4
39,3.2773,412.0
39,3.3365,419.2
39,3.3972,426.8
39,3.4566,434.0
39,3.515,441.1
39,3.5761,448.6
39,3.6352,455.7
39,3.696,463.1
39,3.7548,470.0
39,3.8156,477.3
39,3.8746,484.1
39,3.9332,490.9
39,3.9942,498.0
39,4.0538,504.9
39,4.1138,511.7
39,4.173,518.4
39,4.2342,525.4
39,4.2925,531.7
39,4.3519,538.3
39,4.4129,545.0
39,4.4721,551.5
39,4.5324,557.9
39,4.5911,564.1
39,4.6522,570.6
39,4.7106,576.5
39,4.7702,582.7
39,4.8308,588.8
39,4.8908,594.7
39,4.95,600.5
39,5.0102,606.3
39,5.0705,611.9
39,5.1286,617.1
39,5.1892,622.6
39,5.2487,627.8
39,5.3089,633.0
39,5.3686,637.8
39,5.4283,642.7
39,5.4884,647.3
39,5.5469,651.5
39,5.6073,656.0
39,5.6675,660.1
39,5.7275,664.0
39,5.7867,667.7
39,5.8474,671.4
39,5.906,674.6
39,5.9652,677.6
39,6.0258,680.7
39,6.0857,683.6
39,6.1455,686.2
39,6.2054,688.7
39,6.2656,691.1
39,6.3243,693.0
39,6.3842,694.9
39,6.444,696.7
39,6.5044,698.4
39,6.5633,699.8
39,6.6235,701.1
39,6.6842,702.4
39,6.742,703.2
39,6.8026,704.1
39,6.8624,704.8
39,6.922,705.4
39,6.982,705.9
39,7.0424,706.3
39,7.1019,706.6
39,7.1605,706.5
39,7.2206,706.6
39,7.281,706.5
39,7.3408,706.3
39,7.3999,705.9
39,7.4607,705.6
39,7.5201,704.9
39,7.5787,704.0
39,7.6392,703.3
39,7.6998,702.4
40,0.0,0.2
40,0.0354,4.3
40,0.0807,11.0
40,0.1247,17.5
40,0.1692,19.6
40,0.2132,20.6
40,0.2581,23.3
40,0.3035,30.4
40,0.3466,37.1
40,0.3918,44.2
40,0.4363,51.3
40,0.4798,58.3
40,0.5238,65.3
40,0.5695,72.7
40,0.6133,79.9
40,0.6578,87.0
40,0.7021,94.2
40,0.7466,101.4
40,0.7913,108.7
40,0.8347,115.6
40,0.8808,123.2
40,0.925,130.4
40,0.9689,137.5
40,1.0136,144.8
40,1.0572,151.8
40,1.1018,159.1
40,1.146,166.2
40,1.1915,173.6
40,1.2349,180.6
40,1.2796,187.9
40,1.3237,195.0
40,1.3684,202.2
40,1.412,209.3
40,1.4572,216.5
40,1.5029,224.0
40,1.5457,230.8
40,1.5912,238.2
40,1.6347,245.2
40,1.6795,252.4
40,1.7232,259.4
40,1.7683,266.6
40,1.8134,274.0
40,1.857,280.9
40,1.9016,288.1
40,1.9457,295.2
40,1.9899,302.3
40,2.0336,309.2
40,2.0798,316.7
40,2.1232,323.6
40,2.1678,330.7
40,2.2131,337.9
40,2.2564,344.8
40,2.3014,351.9
40,2.3446,358.6
40,2.391,366.1
40,2.4349,373.0
40,2.4789,379.9
40,2.5237,386.9
40,2.5671,393.7
40,2.6116,400.6
40,2.656,407.6
40,2.7015,414.7
40,2.7449,421.4
40,2.7902,428.4
40,2.8339,435.1
40,2.8785,441.9
40,2.9219,448.5
40,2.9674,455.4
40,3.0131,462.5
40,3.0559,468.9
40,3.1009,475.7
40,3.1455,482.4
40,3.1892,489.0
40,3.2329,495.4
40,3.2781,502.2
40,3.3229,509.0
40,3.3669,515.5
40,3.4114,522.1
40,3.4558,528.6
40,3.4997,535.1
40,3.5438,541.5
40,3.5899,548.3
40,3.6336,554.7
40,3.6783,561.2
40,3.723,567.7
40,3.7668,573.9
40,3.8111,580.3
40,3.8547,586.5
40,3.9006,593.1
40,3.9444,599.3
40,3.9887,605.6
40,4.0332,611.8
40,4.0778,618.1
40,4.1213,624.1
40,4.1663,630.4
40,4.2115,636.7
40,4.255,642.5
40,4.3004,648.8
40,4.3442,654.7
40,4.3888,660.7
40,4.4324,666.5
40,4.4773,672.5
40,4.5227,678.5
40,4.5656,684.1
40,4.6106,690.0
40,4.6552,695.7
40,4.6991,701.4
40,4.7429,706.9
40,4.7883,712.7
40,4.8329,718.3
40,4.8773,723.8
40,4.9217,729.2
40,4.9661,734.5
40,5.0109,739.9
40,5.0539,744.8
40,5.1002,750.3
40,5.1436,755.1
40,5.1881,759.8
40,5.2328,764.4
40,5.2765,768.6
40,5.321,772.5
40,5.3651,776.0
40,5.4108,779.6
40,5.4544,782.5
40,5.4988,785.2
40,5.5435,787.5
40,5.588,789.2
40,5.6315,789.9
40,5.6763,788.1
40,5.7099,190.6
41,0.0,0.1
41,0.0453,2.5
41,0.1029,7.6
41,0.1627,13.8
41,0.2207,19.0
41,0.2791,23.2
41,0.3364,29.4
41,0.3966,35.9
41,0.4535,42.0
41,0.5112,48.3
41,0.5705,54.9
41,0.6279,61.3
41,0.6877,68.2
41,0.745,74.7
41,0.8039,81.6
41,0.8627,88.5
41,0.9204,95.1
41,0.9778,101.8
41,1.0363,108.7
41,1.0948,115.5
41,1.1534,122.3
41,1.2119,129.1
41,1.2695,135.8
41,1.3292,142.8
41,1.387,149.6
41,1.4447,156.2
41,1.5025,162.9
41,1.5607,169.8
41,1.6198,176.6
41,1.6779,183.3
41,1.7366,190.0
41,1.7942,196.7
41,1.8539,203.6
41,1.9111,210.1
41,1.9688,216.7
41,2.0279,223.5
41,2.0854,230.0
41,2.1446,236.8
41,2.203,243.4
41,2.2606,249.8
41,2.32,256.6
41,2.3781,263.1
41,2.4349,269.4
41,2.4945,276.1
41,2.552,282.5
41,2.6107,289.0
41,2.6694,295.5
41,2.7268,301.8
41,2.7864,308.4
41,2.8446,314.8
41,2.9022,321.0
41,2.9597,327.2
41,3.0183,333.6
41,3.0773,340.0
41,3.1353,346.2
41,3.1941,352.5
41,3.2512,358.5
41,3.3118,365.0
41,3.3686,370.9
41,3.4262,376.9
41,3.4853,383.1
41,3.5425,389.0
41,3.6024,395.2
41,3.66,401.1
41,3.718,406.9
41,3.777,412.9
41,3.8353,418.7
41,3.8925,424.4
41,3.9514,430.2
41,4.0095,435.8
41,4.0677,441.5
41,4.1266,447.1
41,4.1844,452.6
41,4.2433,458.1
41,4.3021,463.6
41,4.3595,468.7
41,4.4169,473.8
41,4.4764,479.2
41,4.5347,484.3
41,4.5925,489.4
41,4.6513,494.4
41,4.7089,499.1
41,4.7685,504.0
41,4.8262,508.5
41,4.8835,512.9
41,4.9425,517.5
41,5.001,521.8
41,5.0592,525.9
41,5.1175,530.0
41,5.1756,533.8
41,5.234,537.5
41,5.2931,541.1
41,5.3498,544.3
41,5.4087,547.4
41,5.4669,550.4
41,5.5252,553.3
41,5.5841,555.9
41,5.6417,558.2
41,5.7004,560.4
41,5.7592,562.6
41,5.8172,564.4
41,5.8741,566.1
41,5.9336,567.9
41,5.992,569.5
41,6.0496,570.9
41,6.1091,572.4
41,6.166,573.5
41,6.2258,574.9
41,6.284,576.0
41,6.3408,576.8
41,6.3999,577.8
41,6.4581,578.6
41,6.5169,579.5
41,6.5749,580.2
41,6.6328,580.6
41,6.6914,581.2
41,6.7505,581.7
41,6.8076,582.0
41,6.8659,582.1
41,6.9243,582.4
41,6.9833,582.5
41,7.0413,582.4
41,7.0992,582.3
41,7.1576,582.1
41,7.2167,582.0
41,7.2746,581.5
41,7.3314,581.0
41,7.391,580.7
41,7.4491,580.2
41,7.508,579.7
42,0.0,0.0
42,0.0503,3.6
42,0.1114,10.6
42,0.1713,17.5
42,0.2327,21.8
42,0.2913,31.1
42,0.352,41.1
42,0.4122,51.1
42,0.4724,61.5
42,0.533,72.1
42,0.5933,82.7
42,0.6534,93.2
42,0.7129,103.8
42,0.7734,114.5
42,0.8339,125.2
42,0.8944,135.9
42,0.9545,146.5
42,1.0158,157.5
42,1.0743,167.9
42,1.135,178.9
42,1.1956,189.7
42,1.2561,200.5
42,1.3153,211.1
42,1.3771,222.2
42,1.4361,232.8
42,1.4958,243.5
42,1.5568,254.5
42,1.6175,265.4
42,1.6769,275.9
42,1.7382,287.0
42,1.7981,297.6
42,1.8576,308.2
42,1.9181,319.0
42,1.9785,329.7
42,2.0395,340.5
42,2.0986,350.9
42,2.1603,361.8
42,2.2188,372.0
42,2.2795,382.7
42,2.3396,393.3
42,2.4007,404.0
42,2.4604,414.4
42,2.5208,425.0
42,2.581,435.3
42,2.6402,445.6
42,2.7017,456.2
42,2.7617,466.5
42,2.822,476.9
42,2.8822,487.2
42,2.9429,497.6
42,3.0016,507.4
42,3.0629,517.9
42,3.1231,528.1
42,3.1832,538.2
42,3.2437,548.3
42,3.3043,558.4
42,3.3637,568.2
42,3.4236,578.1
42,3.4841,588.0
42,3.5453,598.1
42,3.6049,607.8
42,3.6656,617.6
42,3.726,627.3
42,3.7848,636.6
42,3.8457,646.3
42,3.9066,655.9
42,3.9664,665.2
42,4.0264,674.5
42,4.0877,684.0
42,4.1465,692.8
42,4.2067,701.9
42,4.2679,711.1
42,4.3281,720.0
42,4.388,728.7
42,4.4497,737.7
42,4.5079,745.7
42,4.5686,754.2
42,4.6286,762.4
42,4.6894,770.7
42,4.7499,778.7
42,4.8095,786.4
42,4.8705,794.3
42,4.9294,801.4
42,4.9905,808.9
42,5.0503,816.0
42,5.1115,823.0
42,5.1707,829.5
42,5.2328,836.3
42,5.2911,842.1
42,5.3512,848.1
42,5.4125,854.0
42,5.4724,859.4
42,5.5324,864.7
42,5.5931,869.7
42,5.6533,874.5
42,5.712,878.8
42,5.7736,883.4
42,5.8339,887.5
42,5.8938,891.4
42,5.9546,895.2
42,6.0151,898.8
42,6.0743,901.9
42,6.1349,905.2
42,6.195,908.2
42,6.2559,911.1
42,6.3155,913.7
42,6.3765,916.4
42,6.4362,918.5
42,6.4958,920.5
42,6.5563,922.6
42,6.6172,924.4
42,6.6769,925.9
42,6.7375,927.5
42,6.7979,928.7
42,6.8571,929.6
42,6.9179,930.6
42,6.9786,931.5
42,7.0386,932.1
42,7.0987,932.5
42,7.1603,933.1
42,7.2184,932.9
42,7.2798,933.0
42,7.3395,932.8
42,7.4002,932.6
42,7.4602,931.8
42,7.5209,931.2
42,7.5806,930.2
42,7.6401,928.7
42,7.7012,927.3
42,7.7618,925.3
43,0.0,0.0
43,0.0511,2.5
43,0.1123,5.9
43,0.1749,10.6
43,0.2361,17.2
43,0.2983,24.7
43,0.3613,32.6
43,0.4222,40.3
43,0.4851,48.4
43,0.546,56.2
43,0.6085,64.3
43,0.671,72.4
43,0.7332,80.5
43,0.7955,88.6
43,0.857,96.6
43,0.9191,104.7
43,0.9818,112.9
43,1.0434,121.1
43,1.1054,129.3
43,1.1675,137.4
43,1.2289,145.5
43,1.2916,153.8
43,1.3536,161.9
43,1.415,170.0
43,1.4783,178.3
43,1.5395,186.3
43,1.602,194.5
43,1.6644,202.6
43,1.7256,210.5
43,1.7886,218.7
43,1.8493,226.6
43,1.912,234.7
43,1.9741,242.8
43,2.0359,250.6
43,2.0983,258.6
43,2.1596,266.4
43,2.2226,274.5
43,2.2852,282.5
43,2.3466,290.3
43,2.4091,298.2
43,2.4702,305.8
43,2.5328,313.7
43,2.5946,321.4
43,2.657,329.2
43,2.7184,336.8
43,2.7808,344.6
43,2.8421,352.2
43,2.9054,359.9
43,2.9677,367.6
43,3.0292,375.1
43,3.0915,382.7
43,3.1528,390.2
43,3.2152,397.7
43,3.2778,405.3
43,3.3391,412.7
43,3.4016,420.2
43,3.4628,427.4
43,3.5253,434.8
43,3.5879,442.1
43,3.6498,449.4
43,3.7121,456.7
43,3.7735,463.8
43,3.8361,471.1
43,3.8982,478.3
43,3.9602,485.4
43,4.0218,492.4
43,4.0839,499.3
43,4.1459,506.3
43,4.2082,513.2
43,4.2703,520.0
43,4.3317,526.6
43,4.3948,533.4
43,4.4565,540.0
43,4.5187,546.6
43,4.5811,553.0
43,4.6422,559.4
43,4.7052,565.9
43,4.7659,572.0
43,4.8288,578.3
43,4.8908,584.5
43,4.9526,590.3
43,5.0149,596.4
43,5.0763,602.2
43,5.1393,608.1
43,5.2016,613.9
43,5.2633,619.3
43,5.3256,624.8
43,5.3869,630.0
43,5.4496,635.2
43,5.5113,640.2
43,5.5738,645.3
43,5.635,649.9
43,5.6974,654.4
43,5.7589,658.7
43,5.8221,663.0
43,5.8843,667.1
43,5.9457,670.9
43,6.0081,674.6
43,6.0695,677.9
43,6.132,681.1
43,6.1943,684.1
43,6.2557,686.8
43,6.3185,689.5
43,6.3793,691.8
43,6.4422,694.1
43,6.5042,696.2
43,6.5665,697.9
43,6.6289,699.8
43,6.6902,701.3
43,6.7529,702.8
43,6.8148,704.2
43,6.8766,705.3
43,6.9386,706.4
43,7.0005,707.3
43,7.0628,708.3
43,7.1248,709.0
43,7.1868,709.7
43,7.2487,710.2
43,7.3115,710.7
43,7.3731,711.0
43,7.4352,711.4
43,7.4976,711.5
43,7.5593,711.5
43,7.6219,711.6
43,7.6826,711.3
43,7.7456,711.2
43,7.8074,710.9
43,7.8695,710.5
43,7.9317,710.0
43,7.9934,709.3
44,0.0,0.0
44,0.0402,1.8
44,0.0914,7.0
44,0.1429,12.7
44,0.1942,18.4
44,0.2456,24.2
44,0.2973,30.2
44,0.3486,36.3
44,0.4002,42.3
44,0.4513,48.3
44,0.5025,54.3
44,0.5538,60.4
44,0.6053,66.5
44,0.6565,72.5
44,0.7079,78.5
44,0.759,84.5
44,0.8107,90.6
44,0.8617,96.6
44,0.9131,102.6
44,0.9643,108.6
44,1.0151,114.6
44,1.0659,120.5
44,1.1173,126.6
44,1.1687,132.6
44,1.2202,138.7
44,1.2714,144.6
44,1.3227,150.6
44,1.3738,156.7
44,1.4253,162.8
44,1.4768,168.8
44,1.5275,174.8
44,1.5788,180.8
44,1.6303,186.8
44,1.6818,192.8
44,1.7331,198.8
44,1.7844,204.8
44,1.8357,210.7
44,1.8873,216.7
44,1.9387,222.7
44,1.9897,228.6
44,2.0404,234.4
44,2.0921,240.4
44,2.1433,246.2
44,2.1944,252.1
44,2.2456,258.0
44,2.297,263.9
44,2.3484,269.7
44,2.3997,275.6
44,2.4506,281.4
44,2.5022,287.2
44,2.553,292.9
44,2.6043,298.7
44,2.6553,304.4
44,2.7069,310.1
44,2.7582,315.9
44,2.8097,321.7
44,2.861,327.5
44,2.9122,333.2
44,2.9634,338.8
44,3.0149,344.5
44,3.0654,350.1
44,3.1163,355.7
44,3.1676,361.3
44,3.2191,366.9
44,3.2702,372.5
44,3.3217,378.1
44,3.3728,383.6
44,3.4244,389.2
44,3.4756,394.7
44,3.5272,400.2
44,3.5776,405.6
44,3.6295,411.2
44,3.6807,416.6
44,3.7325,422.1
44,3.7835,427.4
44,3.8353,432.8
44,3.8864,438.2
44,3.9381,443.6
44,3.9891,448.8
44,4.0407,454.2
44,4.0911,459.3
44,4.1429,464.6
44,4.1936,469.7
44,4.245,475.0
44,4.2963,480.1
44,4.3475,485.2
44,4.3986,490.4
44,4.4499,495.5
44,4.5011,500.6
44,4.5525,505.6
44,4.6034,510.5
44,4.6546,515.4
44,4.7061,520.3
44,4.7574,525.2
44,4.8089,530.1
44,4.8601,535.0
44,4.9117,539.8
44,4.9627,544.5
44,5.0146,549.3
44,5.0658,553.9
44,5.1164,558.5
44,5.1676,563.1
44,5.2194,567.7
44,5.2704,572.1
44,5.3217,576.5
44,5.373,580.8
44,5.4247,585.2
44,5.4757,589.4
44,5.5273,593.6
44,5.578,597.6
44,5.6291,601.7
44,5.6803,605.6
44,5.7319,609.5
44,5.7826,613.2
44,5.8343,616.9
44,5.8856,620.5
44,5.9372,624.0
44,5.9882,627.3
44,6.0398,630.6
44,6.0909,633.6
44,6.1418,636.7
44,6.1929,639.5
44,6.244,642.2
44,6.2955,644.8
44,6.3467,647.2
44,6.3978,649.5
44,6.4488,651.5
44,6.5001,653.3
44,6.5517,654.4
44,6.5949,159.9
