s,m/s2
0.00000000,0.144055515527725
0.00010000,0.14315727353096
0.00020000,0.142483592033386
0.00030000,0.14315727353096
0.00040000,0.14136078953743
0.00050000,0.148995846509933
0.00060000,0.144280076026917
0.00070000,0.151690572500229
0.00080000,0.149894088506699
0.00090000,0.141922190785408
0.00100000,0.144167795777321
0.00110000,0.144167795777321
0.00120000,0.146525681018829
0.00130000,0.145627439022064
0.00140000,0.14573971927166
0.00150000,0.14495375752449
0.00160000,0.142483592033386
0.00170000,0.145964279770851
0.00180000,0.144841477274895
0.00190000,0.141136229038239
0.00200000,0.141809910535812
0.00210000,0.14933268725872
0.00220000,0.147648483514786
0.00230000,0.14495375752449
0.00240000,0.150230929255486
0.00250000,0.145851999521255
0.00260000,0.146525681018829
0.00270000,0.147199362516403
0.00280000,0.152364253997803
0.00290000,0.14394323527813
0.00300000,0.151241451501846
0.00310000,0.147087082266808
0.00320000,0.151578292250633
0.00330000,0.150792330503464
0.00340000,0.144392356276512
0.00350000,0.145178318023682
0.00360000,0.143381834030151
0.00370000,0.146750241518021
0.00380000,0.148434445261955
0.00390000,0.14057482779026
0.00400000,0.141023948788643
0.00410000,0.141809910535812
0.00420000,0.146525681018829
0.00430000,0.142034471035004
0.00440000,0.146301120519638
0.00450000,0.14933268725872
0.00460000,0.146525681018829
0.00470000,0.14832216501236
0.00480000,0.144616916775703
0.00490000,0.144167795777321
0.00500000,0.142259031534195
0.00510000,0.141922190785408
0.00520000,0.147199362516403
0.00530000,0.141585350036621
0.00540000,0.144504636526108
0.00550000,0.148659005761147
0.00560000,0.14933268725872
0.00570000,0.152139693498611
0.00580000,0.148883566260338
0.00590000,0.150343209505081
0.00600000,0.140911668539047
0.00610000,0.139227464795113
0.00620000,0.148097604513168
0.00630000,0.150680050253868
0.00640000,0.143269553780556
0.00650000,0.145851999521255
0.00660000,0.148434445261955
0.00670000,0.148995846509933
0.00680000,0.155508100986481
0.00690000,0.147873044013977
0.00700000,0.148659005761147
0.00710000,0.148883566260338
0.00720000,0.143044993281364
0.00730000,0.146862521767616
0.00740000,0.157529145479202
0.00750000,0.144504636526108
0.00760000,0.153823897242546
0.00770000,0.148546725511551
0.00780000,0.150680050253868
0.00790000,0.146188840270042
0.00800000,0.147760763764381
0.00810000,0.14832216501236
0.00820000,0.149220407009125
0.00830000,0.145178318023682
0.00840000,0.149894088506699
0.00850000,0.146974802017212
0.00860000,0.14933268725872
0.00870000,0.148659005761147
0.00880000,0.143494114279747
0.00890000,0.15011864900589
0.00900000,0.144616916775703
0.00910000,0.146525681018829
0.00920000,0.148097604513168
0.00930000,0.148546725511551
0.00940000,0.148659005761147
0.00950000,0.148883566260338
0.00960000,0.147873044013977
0.00970000,0.145515158772469
0.00980000,0.145402878522873
0.00990000,0.147760763764381
0.01000000,0.146637961268425
0.01010000,0.145851999521255
0.01020000,0.145851999521255
0.01030000,0.153150215744972
0.01040000,0.146525681018829
0.01050000,0.14753620326519
0.01060000,0.146413400769234
0.01070000,0.145066037774086
0.01080000,0.153823897242546
0.01090000,0.148209884762764
0.01100000,0.149220407009125
0.01110000,0.146413400769234
0.01120000,0.15371161699295
0.01130000,0.147760763764381
0.01140000,0.153150215744972
0.01150000,0.144392356276512
0.01160000,0.144841477274895
0.01170000,0.141697630286217
0.01180000,0.147087082266808
0.01190000,0.148883566260338
0.01200000,0.146301120519638
0.01210000,0.153487056493759
0.01220000,0.144729197025299
0.01230000,0.14495375752449
0.01240000,0.14832216501236
0.01250000,0.144392356276512
0.01260000,0.144167795777321
0.01270000,0.146750241518021
0.01280000,0.14753620326519
0.01290000,0.140687108039856
0.01300000,0.151241451501846
0.01310000,0.151241451501846
0.01320000,0.144167795777321
0.01330000,0.15270109474659
0.01340000,0.147087082266808
0.01350000,0.147873044013977
0.01360000,0.147423923015594
0.01370000,0.141136229038239
0.01380000,0.147873044013977
0.01390000,0.148434445261955
0.01400000,0.154834419488907
0.01410000,0.148434445261955
0.01420000,0.145515158772469
0.01430000,0.143606394529343
0.01440000,0.14495375752449
0.01450000,0.14832216501236
0.01460000,0.148209884762764
0.01470000,0.149894088506699
0.01480000,0.150567770004272
0.01490000,0.149444967508316
0.01500000,0.153599336743355
0.01510000,0.147087082266808
0.01520000,0.146637961268425
0.01530000,0.146413400769234
0.01540000,0.155171260237694
0.01550000,0.149557247757912
0.01560000,0.151578292250633
0.01570000,0.151353731751442
0.01580000,0.146301120519638
0.01590000,0.145851999521255
0.01600000,0.155508100986481
0.01610000,0.148883566260338
0.01620000,0.153487056493759
0.01630000,0.146862521767616
0.01640000,0.146862521767616
0.01650000,0.153599336743355
