dataset,param,kernel,seed,noise,b_rec,H_rec,pred_strw,gt_strw,gt_var,dist_to_strong,in_strong_zone,length_scales
n13_all,Pltb_Pbend,rbf,4,0.0001,4.378,16.499,32.51,31.49,6.7e-05,0.0712,True,"[0.15, 0.198]"
n13_all,b_Pltb_Pbend,rbf,0,0.0001,3.471,12.093,30.98,29.47,0.005112,0.2189,False,"[0.208, 0.351, 3.0]"
n13_all,b_Pltb_Pbend,rbf,1,0.0001,3.385,12.014,30.76,29.24,0.006252,0.2266,False,"[0.208, 0.351, 3.0]"
n13_all,b_Pltb_Pbend,rbf,2,0.0001,3.26,12.03,30.33,28.73,0.007973,0.2272,False,"[0.208, 0.351, 3.0]"
n13_all,b_Pltb_Pbend,rbf,3,0.0001,3.351,12.032,30.65,29.09,0.006688,0.2254,False,"[0.208, 0.351, 3.0]"
n13_all,b_Pltb_Pbend,rbf,4,0.0001,3.26,12.01,30.33,28.75,0.008007,0.229,False,"[0.208, 0.351, 3.0]"
n13_all,b_dH_Pltb_Pbend,rbf,0,0.0001,3.389,12.11,30.7,29.15,0.006205,0.2179,False,"[0.21, 3.0, 0.357, 3.0]"
n13_all,b_dH_Pltb_Pbend,rbf,1,0.0001,3.385,12.014,30.71,29.24,0.006252,0.2266,False,"[0.21, 3.0, 0.357, 3.0]"
n13_all,b_dH_Pltb_Pbend,rbf,2,0.0001,3.26,12.03,30.29,28.73,0.007973,0.2272,False,"[0.21, 3.0, 0.357, 3.0]"
n13_all,b_dH_Pltb_Pbend,rbf,3,0.0001,3.351,12.032,30.6,29.09,0.006688,0.2254,False,"[0.21, 3.0, 0.357, 3.0]"
n13_all,b_dH_Pltb_Pbend,rbf,4,0.0001,3.26,12.01,30.29,28.75,0.008007,0.229,False,"[0.21, 3.0, 0.357, 3.0]"
n10_b2,b_H,matern,0,0.0001,2.035,12.111,29.86,22.61,0.015618,0.3017,False,"[0.362, 0.671]"
n10_b2,b_H,matern,1,0.0001,2.025,12.035,29.87,22.63,0.014923,0.3075,False,"[0.362, 0.671]"
n10_b2,b_H,matern,2,0.0001,2.156,12.034,30.0,23.28,0.016382,0.2952,False,"[0.362, 0.671]"
n10_b2,b_H,matern,3,0.0001,2.055,12.023,29.9,22.79,0.015257,0.3055,False,"[0.362, 0.671]"
n10_b2,b_H,matern,4,0.0001,2.081,12.081,29.91,22.86,0.015913,0.2991,False,"[0.362, 0.671]"
n10_b2,b_dH_R,matern,0,0.0001,2.001,22.628,28.61,20.93,0.136854,0.6175,False,"[3.0, 1.329, 0.15]"
n10_b2,b_dH_R,matern,1,0.0001,2.009,22.677,28.6,21.18,0.137809,0.6204,False,"[3.0, 1.329, 0.15]"
n10_b2,b_dH_R,matern,2,0.0001,2.01,22.71,28.6,21.31,0.138423,0.6228,False,"[3.0, 1.329, 0.15]"
n10_b2,b_dH_R,matern,3,0.0001,2.026,22.964,28.59,22.34,0.142406,0.6401,False,"[3.0, 1.329, 0.15]"
n10_b2,b_dH_R,matern,4,0.0001,2.007,22.832,28.6,21.76,0.140523,0.6319,False,"[3.0, 1.329, 0.15]"
n10_b2,Pltb_Pbend,matern,0,0.0001,2.019,12.533,31.35,22.26,0.023852,0.277,False,"[0.189, 0.56]"
n10_b2,Pltb_Pbend,matern,1,0.0001,2.047,12.461,31.33,22.42,0.022242,0.2782,False,"[0.189, 0.56]"
n10_b2,Pltb_Pbend,matern,2,0.0001,2.015,12.465,31.31,22.27,0.02214,0.2815,False,"[0.189, 0.56]"
n10_b2,Pltb_Pbend,matern,3,0.0001,2.097,12.472,31.36,22.64,0.02268,0.2723,False,"[0.189, 0.56]"
n10_b2,Pltb_Pbend,matern,4,0.0001,2.014,12.426,31.28,22.29,0.021206,0.2839,False,"[0.189, 0.56]"
n10_b2,b_Pltb_Pbend,matern,0,0.0001,2.036,12.254,31.12,22.5,0.017715,0.2922,False,"[3.0, 0.19, 0.533]"
n10_b2,b_Pltb_Pbend,matern,1,0.0001,2.004,12.215,31.06,22.38,0.016643,0.2981,False,"[3.0, 0.19, 0.533]"
n10_b2,b_Pltb_Pbend,matern,2,0.0001,2.015,12.465,31.24,22.27,0.02214,0.2815,False,"[3.0, 0.19, 0.533]"
n10_b2,b_Pltb_Pbend,matern,3,0.0001,2.097,12.472,31.29,22.64,0.02268,0.2723,False,"[3.0, 0.19, 0.533]"
n10_b2,b_Pltb_Pbend,matern,4,0.0001,2.014,12.426,31.23,22.29,0.021206,0.2839,False,"[3.0, 0.19, 0.533]"
n10_b2,b_dH_Pltb_Pbend,matern,0,0.0001,2.036,12.254,31.16,22.5,0.017715,0.2922,False,"[3.0, 3.0, 0.193, 0.541]"
n10_b2,b_dH_Pltb_Pbend,matern,1,0.0001,2.004,12.215,31.1,22.38,0.016643,0.2981,False,"[3.0, 3.0, 0.193, 0.541]"
n10_b2,b_dH_Pltb_Pbend,matern,2,0.0001,2.005,12.272,31.15,22.35,0.017704,0.2943,False,"[3.0, 3.0, 0.193, 0.541]"
n10_b2,b_dH_Pltb_Pbend,matern,3,0.0001,2.097,12.472,31.32,22.64,0.02268,0.2723,False,"[3.0, 3.0, 0.193, 0.541]"
n10_b2,b_dH_Pltb_Pbend,matern,4,0.0001,2.014,12.426,31.26,22.29,0.021206,0.2839,False,"[3.0, 3.0, 0.193, 0.541]"
n10_b2,b_H,rbf,0,0.0001,3.235,12.003,31.28,28.65,0.00839,0.2302,False,"[0.228, 0.55]"
n10_b2,b_H,rbf,1,0.0001,3.429,12.028,31.47,29.39,0.005645,0.2249,False,"[0.228, 0.55]"
n10_b2,b_H,rbf,2,0.0001,3.217,12.031,31.24,28.55,0.008589,0.228,False,"[0.228, 0.55]"
