param,kernel,ls_bounds,acquisition,kappa,noise,b_rec,H_rec,pred_strw,gt_strw,gt_sig,dist_to_strong,in_strong_zone,gt_above_30,length_scales
b_H,matern,tight,ucb,3.0,2.818553756278192e-05,2.591,12.061,30.72,23.87,0.1085,0.2419,False,False,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,tight,ucb,3.0,0.0001,2.607,12.018,30.57,23.95,0.1095,0.2396,False,False,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,tight,ucb,3.0,0.0003,2.671,12.012,30.2,24.24,0.1098,0.2305,False,False,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,tight,ucb,3.0,0.001,3.826,16.25,32.45,30.83,0.0051,0.0021,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,tight,ucb,3.0,0.003,4.516,15.629,32.55,31.14,0.01,0.0291,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,loose,ei,,2.818553756278192e-05,4.884,14.935,34.08,31.54,0.0337,0.0676,True,True,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,loose,ei,,0.0001,4.857,14.991,34.03,31.52,0.0333,0.0678,True,True,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,loose,ei,,0.0003,4.869,15.022,33.85,31.45,0.0339,0.0709,True,True,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,loose,ei,,0.001,3.799,16.157,32.44,30.82,0.0062,0.0094,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,loose,ei,,0.003,4.329,15.691,32.6,31.41,0.0071,0.0465,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,loose,ucb,1.0,2.818553756278192e-05,4.939,14.934,34.04,31.42,0.036,0.0741,True,True,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,loose,ucb,1.0,0.0001,4.988,14.818,33.89,31.45,0.0364,0.0755,True,True,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,loose,ucb,1.0,0.0003,4.993,14.844,33.72,31.41,0.0371,0.077,True,True,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,loose,ucb,1.0,0.001,3.81,16.203,32.44,30.82,0.0055,0.005,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,loose,ucb,1.0,0.003,4.412,15.722,32.59,31.21,0.0069,0.0388,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,loose,ucb,2.0,2.818553756278192e-05,5.057,14.551,33.71,31.44,0.0345,0.0797,True,True,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,loose,ucb,2.0,0.0001,5.042,14.854,33.8,31.3,0.0397,0.0838,True,True,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,loose,ucb,2.0,0.0003,5.05,15.01,33.66,31.08,0.0411,0.0903,True,True,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,loose,ucb,2.0,0.001,3.8,16.229,32.45,30.8,0.0054,0.0033,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,loose,ucb,2.0,0.003,4.368,15.835,32.6,31.12,0.006,0.0346,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,matern,loose,ucb,3.0,2.818553756278192e-05,2.431,12.113,30.59,23.17,0.1052,0.2647,False,False,"[np.float64(0.324), np.float64(0.993)]"
b_H,matern,loose,ucb,3.0,0.0001,2.567,12.004,30.54,23.77,0.1095,0.2453,False,False,"[np.float64(0.326), np.float64(0.99)]"
b_H,matern,loose,ucb,3.0,0.0003,2.449,12.032,30.02,23.25,0.107,0.2621,False,False,"[np.float64(0.333), np.float64(0.979)]"
b_H,matern,loose,ucb,3.0,0.001,3.843,16.246,32.45,30.85,0.005,0.0044,True,True,"[np.float64(0.708), np.float64(0.837)]"
b_H,matern,loose,ucb,3.0,0.003,4.438,15.691,32.59,31.2,0.0076,0.036,True,True,"[np.float64(1.032), np.float64(1.116)]"
b_H,rbf,adaptive,ei,,2.818553756278192e-05,4.98,15.138,35.01,31.03,0.0372,0.0767,True,True,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,adaptive,ei,,0.0001,4.991,15.026,34.97,31.18,0.0386,0.0849,True,True,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,adaptive,ei,,0.0003,4.929,14.723,34.86,31.64,0.0311,0.0645,True,True,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,adaptive,ei,,0.001,4.256,15.918,32.71,31.17,0.0063,0.0264,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,adaptive,ei,,0.003,4.477,15.748,33.01,31.04,0.0065,0.0291,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,adaptive,ucb,1.0,2.818553756278192e-05,5.048,15.024,34.94,31.07,0.041,0.089,True,True,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,adaptive,ucb,1.0,0.0001,5.052,15.092,34.9,30.96,0.0407,0.0829,True,True,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,adaptive,ucb,1.0,0.0003,5.042,14.954,34.8,31.18,0.0406,0.0877,True,True,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,adaptive,ucb,1.0,0.001,4.211,15.844,32.71,31.32,0.0061,0.0329,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,adaptive,ucb,1.0,0.003,4.479,15.735,33.01,31.06,0.0067,0.0292,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,adaptive,ucb,2.0,2.818553756278192e-05,2.469,12.019,32.01,23.33,0.1077,0.2593,False,False,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,adaptive,ucb,2.0,0.0001,2.56,12.003,31.86,23.74,0.1095,0.2464,False,False,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,adaptive,ucb,2.0,0.0003,2.458,12.019,31.82,23.29,0.1075,0.2609,False,False,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,adaptive,ucb,2.0,0.001,4.311,16.018,32.7,31.04,0.006,0.0167,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,adaptive,ucb,2.0,0.003,4.552,15.765,33.0,30.89,0.0062,0.0184,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,adaptive,ucb,3.0,2.818553756278192e-05,2.403,12.051,32.0,23.05,0.1055,0.2688,False,False,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,adaptive,ucb,3.0,0.0001,2.317,12.088,31.8,22.69,0.1022,0.281,False,False,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,adaptive,ucb,3.0,0.0003,2.408,12.025,31.79,23.07,0.1062,0.268,False,False,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,adaptive,ucb,3.0,0.001,4.311,15.863,32.7,31.17,0.0061,0.0307,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,adaptive,ucb,3.0,0.003,4.598,15.763,32.99,30.81,0.0062,0.0125,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,tight,ei,,2.818553756278192e-05,4.894,15.142,35.01,31.2,0.0341,0.0701,True,True,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,tight,ei,,0.0001,4.952,15.024,34.99,31.27,0.037,0.0803,True,True,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,tight,ei,,0.0003,4.979,14.975,34.87,31.28,0.038,0.081,True,True,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,tight,ei,,0.001,4.241,15.929,32.71,31.17,0.0064,0.0261,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,tight,ei,,0.003,4.501,15.687,33.01,31.08,0.008,0.0279,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,tight,ucb,1.0,2.818553756278192e-05,5.028,15.123,34.97,30.96,0.0393,0.0798,True,True,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,tight,ucb,1.0,0.0001,4.996,14.841,34.95,31.41,0.0372,0.0773,True,True,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,tight,ucb,1.0,0.0003,5.07,14.99,34.77,31.07,0.042,0.0924,True,True,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,tight,ucb,1.0,0.001,4.308,15.988,32.7,31.06,0.0061,0.0193,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,tight,ucb,1.0,0.003,4.533,15.755,33.0,30.93,0.0064,0.0213,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,tight,ucb,2.0,2.818553756278192e-05,2.445,12.013,32.0,23.23,0.1074,0.2627,False,False,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,tight,ucb,2.0,0.0001,2.417,12.06,31.96,23.1,0.1057,0.2668,False,False,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,tight,ucb,2.0,0.0003,2.441,12.037,31.82,23.21,0.1067,0.2633,False,False,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,tight,ucb,2.0,0.001,4.334,15.953,32.7,31.05,0.0062,0.023,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,tight,ucb,2.0,0.003,4.58,15.83,32.99,30.79,0.0052,0.0134,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,tight,ucb,3.0,2.818553756278192e-05,2.539,12.092,32.0,23.63,0.1075,0.2493,False,False,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,tight,ucb,3.0,0.0001,2.481,12.049,31.97,23.38,0.1073,0.2576,False,False,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,tight,ucb,3.0,0.0003,2.353,12.131,31.76,22.84,0.1029,0.2759,False,False,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,tight,ucb,3.0,0.001,4.31,15.923,32.7,31.11,0.0062,0.0252,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,tight,ucb,3.0,0.003,4.525,15.728,33.0,30.98,0.007,0.0232,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,loose,ei,,2.818553756278192e-05,4.898,14.878,35.02,31.57,0.0334,0.0665,True,True,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,loose,ei,,0.0001,4.998,15.026,34.96,31.17,0.0389,0.0858,True,True,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,loose,ei,,0.0003,4.933,15.085,34.87,31.21,0.0361,0.0772,True,True,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,loose,ei,,0.001,4.282,15.94,32.71,31.12,0.0063,0.0238,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,loose,ei,,0.003,4.585,15.723,33.0,30.87,0.0072,0.0161,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,loose,ucb,1.0,2.818553756278192e-05,4.991,15.007,35.01,31.21,0.0386,0.0839,True,True,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,loose,ucb,1.0,0.0001,5.017,14.9,34.93,31.3,0.0391,0.0823,True,True,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,loose,ucb,1.0,0.0003,5.052,14.99,34.79,31.11,0.0412,0.0906,True,True,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,loose,ucb,1.0,0.001,4.279,15.974,32.71,31.09,0.0062,0.0207,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,loose,ucb,1.0,0.003,4.544,15.704,33.0,30.97,0.0076,0.0218,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,loose,ucb,2.0,2.818553756278192e-05,2.402,12.141,32.05,23.04,0.1042,0.269,False,False,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,loose,ucb,2.0,0.0001,2.481,12.053,31.97,23.38,0.1072,0.2576,False,False,"[np.float64(0.177), np.float64(0.661)]"
